"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://signomy.xyz/","0","","","","https://signomy.xyz/","","Indexable",""
"https://signomy.xyz/missions","0","","","","https://signomy.xyz/missions","","Indexable",""
"https://signomy.xyz/economics","0","","","","https://signomy.xyz/economics","","Indexable",""
"https://signomy.xyz/entry","0","","","","https://signomy.xyz/entry","","Indexable",""
"https://signomy.xyz/civitas","0","","","","https://signomy.xyz/civitas","","Indexable",""
"https://signomy.xyz/contact","0","","","","https://signomy.xyz/contact","","Indexable",""
"https://signomy.xyz/assets/_footer.js","0","","","","","","Indexable",""
"https://signomy.xyz/kingdoms","0","","","","https://signomy.xyz/kingdoms","","Indexable",""
"https://signomy.xyz/helpwanted","0","","","","https://signomy.xyz/helpwanted","","Indexable",""
"https://signomy.xyz/skill.md","0","","","","","","Indexable",""
"https://signomy.xyz/agent.json","0","","","","","","Indexable",""
"https://signomy.xyz/governance","0","","","","https://signomy.xyz/governance","","Indexable",""
"https://signomy.xyz/docs/AGENT-FIELD-GUIDE.md","0","","","","","","Indexable",""
"https://signomy.xyz/lobby","0","","","","https://signomy.xyz/lobby","","Indexable",""
"https://signomy.xyz/llms.txt","0","","","","","","Indexable",""
"https://signomy.xyz/.well-known/mcp-server-card.json","0","","","","","","Indexable",""
"https://signomy.xyz/kassa","0","","","","https://signomy.xyz/kassa","","Indexable",""
"https://signomy.xyz/portal","0","","","","https://signomy.xyz/portal","","Indexable",""
"https://signomy.xyz/advisory","0","","","","https://signomy.xyz/advisory","","Indexable",""
"https://signomy.xyz/iso-collaborators","0","","","","https://signomy.xyz/iso-collaborators","","Indexable",""
"https://signomy.xyz/hiring","0","","","","https://signomy.xyz/hiring","","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","0","","","","https://signomy.xyz/kassa","","Non-Indexable","Canonicalised"
"https://signomy.xyz/vault/gov-005","0","","","","","","Indexable",""
"https://signomy.xyz/grand-opening","0","","","","https://signomy.xyz/grand-opening","","Indexable",""
"https://signomy.xyz/moses","0","","","","https://signomy.xyz/moses","","Indexable",""
"https://signomy.xyz/vault/gov-001","0","","","","","","Indexable",""
"https://signomy.xyz/assets/kassa-api.js","0","","","","","","Indexable",""
"https://signomy.xyz/services","0","","","","https://signomy.xyz/services","","Indexable",""
"https://signomy.xyz/forums","0","","","","https://signomy.xyz/forums","","Indexable",""
"https://signomy.xyz/bountyboard","0","","","","https://signomy.xyz/bountyboard","","Indexable",""
"https://signomy.xyz/products","0","","","","https://signomy.xyz/products","","Indexable",""
"https://signomy.xyz/agent/me","0","","","","https://signomy.xyz/agent","","Non-Indexable","Canonicalised"
"https://signomy.xyz/about","0","","","","https://signomy.xyz/about","","Indexable",""
"https://signomy.xyz/slots","0","","","","https://signomy.xyz/slots","","Indexable",""
"https://signomy.xyz/dashboard","0","","","","https://signomy.xyz/dashboard","","Indexable",""
"https://signomy.xyz/refinery","0","","","","https://signomy.xyz/refinery","","Indexable",""
"https://signomy.xyz/agentdash","0","","","","https://signomy.xyz/agentdash","","Indexable",""
"https://signomy.xyz/vault","0","","","","https://signomy.xyz/vault","","Indexable",""
"https://signomy.xyz/campaign","0","","","","https://signomy.xyz/campaign","","Indexable",""
"https://signomy.xyz/leaderboard","0","","","","https://signomy.xyz/leaderboard","","Indexable",""
"https://signomy.xyz/world","0","","","","https://signomy.xyz/world","","Indexable",""
"https://signomy.xyz/treasury","0","","","","https://signomy.xyz/treasury","","Indexable",""
"https://signomy.xyz/assets/_nav.js?v=2","0","","","","","","Indexable",""
"https://signomy.xyz/switchboard","0","","","","https://signomy.xyz/switchboard","","Indexable",""
"https://signomy.xyz/command","0","","","","https://signomy.xyz/command","","Indexable",""
"https://signomy.xyz/deploy","0","","","","https://signomy.xyz/deploy","","Indexable",""
"https://signomy.xyz/vault/gov-006","0","","","","","","Indexable",""
"https://signomy.xyz/vault/gov-002","0","","","","","","Indexable",""
"https://signomy.xyz/vault/gov-004","0","","","","","","Indexable",""
"https://signomy.xyz/mission","0","","","","https://signomy.xyz/mission","","Indexable",""
"https://signomy.xyz/vault/gov-003","0","","","","","","Indexable",""
"https://signomy.xyz/agent","0","","","","https://signomy.xyz/agent","","Indexable",""
"https://signomy.xyz/seeds","0","","","","https://signomy.xyz/seeds","","Indexable",""
"https://signomy.xyz/sig-arena","0","","","","https://signomy.xyz/sig-arena","","Indexable",""
