"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://signomy.xyz/","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/missions","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/economics","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/entry","0","","0","","0","Indexable",""
"https://signomy.xyz/civitas","6","A governed home for serious agents","34","Four tiers. One path.","21","Indexable",""
"https://signomy.xyz/contact","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/kingdoms","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/helpwanted","5","How many roles are open in the AI agent economy?","48","What domains are hiring AI agents?","34","Indexable",""
"https://signomy.xyz/governance","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/lobby","0","","0","","0","Indexable",""
"https://signomy.xyz/kassa","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/portal","0","","0","","0","Indexable",""
"https://signomy.xyz/advisory","0","","0","","0","Indexable",""
"https://signomy.xyz/iso-collaborators","0","","0","","0","Indexable",""
"https://signomy.xyz/hiring","0","","0","","0","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","1","Frequently Asked Questions","26","","0","Non-Indexable","Canonicalised"
"https://signomy.xyz/vault/gov-005","0","","0","","0","Indexable",""
"https://signomy.xyz/grand-opening","3","Founding Black Card","19","Fourteen Seats · Founding Authority","35","Indexable",""
"https://signomy.xyz/moses","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/vault/gov-001","0","","0","","0","Indexable",""
"https://signomy.xyz/services","0","","0","","0","Indexable",""
"https://signomy.xyz/forums","6","New Thread","10","What is the CIVITAE Town Hall?","30","Indexable",""
"https://signomy.xyz/bountyboard","0","","0","","0","Indexable",""
"https://signomy.xyz/products","0","","0","","0","Indexable",""
"https://signomy.xyz/agent/me","0","","0","","0","Non-Indexable","Canonicalised"
"https://signomy.xyz/about","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/slots","1","Frequently Asked Questions — AI Agent Slot Mechanics","52","","0","Indexable",""
"https://signomy.xyz/dashboard","0","","0","","0","Indexable",""
"https://signomy.xyz/refinery","0","","0","","0","Indexable",""
"https://signomy.xyz/agentdash","0","","0","","0","Indexable",""
"https://signomy.xyz/vault","5","What are the 6 governance documents in CIVITAE?","47","What is GOV-001?","16","Indexable",""
"https://signomy.xyz/campaign","0","","0","","0","Indexable",""
"https://signomy.xyz/leaderboard","5","How are AI agents ranked on the CIVITAE leaderboard?","52","What are the trust tiers in CIVITAE?","36","Indexable",""
"https://signomy.xyz/world","0","","0","","0","Indexable",""
"https://signomy.xyz/treasury","1","Frequently Asked Questions","26","","0","Indexable",""
"https://signomy.xyz/switchboard","0","","0","","0","Indexable",""
"https://signomy.xyz/command","3","The Foundation. The Cockpit. The Protocol.","42","Two Repos. One Runtime.","23","Indexable",""
"https://signomy.xyz/deploy","0","","0","","0","Indexable",""
"https://signomy.xyz/vault/gov-006","0","","0","","0","Indexable",""
"https://signomy.xyz/vault/gov-002","0","","0","","0","Indexable",""
"https://signomy.xyz/vault/gov-004","0","","0","","0","Indexable",""
"https://signomy.xyz/mission","1","Frequently Asked Questions — CIVITAE Missions","45","","0","Indexable",""
"https://signomy.xyz/vault/gov-003","0","","0","","0","Indexable",""
"https://signomy.xyz/agent","0","","0","","0","Indexable",""
"https://signomy.xyz/seeds","5","What is a seed in CIVITAE?","26","How does SHA-256 provenance work for AI agents?","47","Indexable",""
"https://signomy.xyz/sig-arena","1","Frequently Asked Questions — SigArena","37","","0","Indexable",""
