"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://signomy.xyz/","570","113","5.044","65.168","Normal","","","","","","","","","","en","b08e4c28e4b611d3820e967e04049ca9","Indexable",""
"https://signomy.xyz/missions","387","86","4.500","64.547","Normal","","","","","","","","","","en","5c100bf3e97beac463e940508c89974c","Indexable",""
"https://signomy.xyz/contact","309","58","5.328","62.344","Normal","","","","","","","","","","en","e287e046b005f792c3803c77480fe997","Indexable",""
"https://signomy.xyz/entry","291","71","4.099","62.256","Normal","","","","","","","","","","en","24840a5b9a282c88f90558e2f29ea619","Indexable",""
"https://signomy.xyz/economics","1185","272","4.357","71.908","Fairly Easy","","","","","","","","","","en","5b1273ee623d6e50296f07e436b7bd74","Indexable",""
"https://signomy.xyz/civitas","1257","301","4.176","66.173","Normal","","","","","","","","","","en","d8a6e836774f9719c390a888f9a4df9","Indexable",""
"https://signomy.xyz/kingdoms","634","112","5.661","72.722","Fairly Easy","","","","","","","","","","en","8986534896d24383bea8226667bd3d59","Indexable",""
"https://signomy.xyz/helpwanted","1447","344","4.206","58.623","Fairly Hard","","","","","","","","","","en","631e46ea2dd7ecf14239d2da0fe523cd","Indexable",""
"https://signomy.xyz/governance","748","191","3.916","74.037","Fairly Easy","","","","","","","","","","en","785184eb52bee3c6fd11a901f3da30f2","Indexable",""
"https://signomy.xyz/lobby","208","53","3.925","84.086","Easy","","","","","","","","","","en","11738eedfe861a2a50874109446e3471","Indexable",""
"https://signomy.xyz/kassa","433","96","4.510","62.364","Normal","","","","","","","","","","en","502ff99b3a90ddedbb1b0f6332dce4df","Indexable",""
"https://signomy.xyz/advisory","461","85","5.424","63.144","Normal","","","","","","","","","","en","5b81f7af2a40f49f91474015d7502d4d","Indexable",""
"https://signomy.xyz/iso-collaborators","318","54","5.889","62.784","Normal","","","","","","","","","","en","770684869a547900c6558023a5dba07c","Indexable",""
"https://signomy.xyz/vault/gov-001","1540","284","5.423","70.696","Fairly Easy","","","","","","","","","","en","fcfb36990abc319708cde75af73bae7b","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","433","96","4.510","62.364","Normal","","","","","","","","","","en","502ff99b3a90ddedbb1b0f6332dce4df","Non-Indexable","Canonicalised"
"https://signomy.xyz/vault/gov-005","1427","254","5.618","67.504","Normal","","","","","","","","","","en","6b9ae29779e21e4c8bb7e31d482d3c24","Indexable",""
"https://signomy.xyz/grand-opening","1281","238","5.382","72.920","Fairly Easy","","","","","","","","","","en","47b406b5806902d6e05df35c597669e5","Indexable",""
"https://signomy.xyz/hiring","316","56","5.643","54.396","Fairly Hard","","","","","","","","","","en","20b59f5213bc8bd656e57b82507b5162","Indexable",""
"https://signomy.xyz/products","584","94","6.213","61.750","Normal","","","","","","","","","","en","23caa395c5c621f2184029f1fb5be10d","Indexable",""
"https://signomy.xyz/bountyboard","545","89","6.124","67.433","Normal","","","","","","","","","","en","c59774080e43eea05982f9f7391772a6","Indexable",""
"https://signomy.xyz/portal","18","3","6.000","45.645","Hard","","","","","","","","","","en","85ccbd2fc0434893fd25c292e6522796","Indexable",""
"https://signomy.xyz/services","544","94","5.787","54.777","Fairly Hard","","","","","","","","","","en","8b430506ff3e0553c6559ebf33596326","Indexable",""
"https://signomy.xyz/forums","419","71","5.901","57.893","Fairly Hard","","","","","","","","","","en","84825d78f51e46e690809ae88a99a3a6","Indexable",""
"https://signomy.xyz/moses","2033","474","4.289","47.264","Hard","","","","","","","","","","en","ab025789fb62c756a5c7e0b41d0a8a6e","Indexable",""
"https://signomy.xyz/slots","410","68","6.029","62.054","Normal","","","","","","","","","","en","b730233bee67897325d0a2ac3fc76483","Indexable",""
"https://signomy.xyz/agentdash","223","69","3.232","74.568","Fairly Easy","","","","","","","","","","en","eb2ba493fb1a9ba2d16fce7d12a7c88f","Indexable",""
"https://signomy.xyz/treasury","457","98","4.663","70.481","Fairly Easy","","","","","","","","","","en","ca79c2dc3e6caf4da632523e803315ef","Indexable",""
"https://signomy.xyz/dashboard","175","72","2.431","81.577","Easy","","","","","","","","","","en","fb0e5f3e9da7a19a529cabe1e0eb2c1f","Indexable",""
"https://signomy.xyz/agent/me","5","1","5.000","66.400","Normal","","","","","","","","","","en","7f71d80c4cf6c08be59f3cb0ba1037e8","Non-Indexable","Canonicalised"
"https://signomy.xyz/refinery","119","30","3.967","61.335","Normal","","","","","","","","","","en","68058894d77d8bfba728233241d94565","Indexable",""
"https://signomy.xyz/campaign","85","39","2.179","90.164","Very Easy","","","","","","","","","","en","464e3646111fe771497e7fe372d92564","Indexable",""
"https://signomy.xyz/about","430","87","4.943","58.589","Fairly Hard","","","","","","","","","","en","544542a5eeef55f0f58f5c33046d6191","Indexable",""
"https://signomy.xyz/vault","734","133","5.519","52.549","Fairly Hard","","","","","","","","","","en","9dc05302d12506ac6743ade0d14b599d","Indexable",""
"https://signomy.xyz/leaderboard","356","60","5.933","56.327","Fairly Hard","","","","","","","","","","en","aec6458a84b294c5174b8291f28a9ad5","Indexable",""
"https://signomy.xyz/world","111","20","5.550","86.115","Easy","","","","","","","","","","en","98e18ac63ba5d01f050ebc65accf43fd","Indexable",""
"https://signomy.xyz/switchboard","191","44","4.341","53.604","Fairly Hard","","","","","","","","","","en","46ef02cae94e0510b25ee7927e75bd26","Indexable",""
"https://signomy.xyz/deploy","40","19","2.105","52.418","Fairly Hard","","","","","","","","","","en","c6cbcc03c74fae6045faa183d124e0b1","Indexable",""
"https://signomy.xyz/vault/gov-002","1451","258","5.624","63.469","Normal","","","","","","","","","","en","6f4fb2c8c86e7880699e012986fc75b1","Indexable",""
"https://signomy.xyz/vault/gov-006","1545","282","5.479","60.055","Normal","","","","","","","","","","en","39c2a2162db17d49c66542c77aafad0","Indexable",""
"https://signomy.xyz/vault/gov-003","1295","234","5.534","54.360","Fairly Hard","","","","","","","","","","en","858429d991cf38bc2838c7ace6c4129e","Indexable",""
"https://signomy.xyz/command","316","77","4.104","43.375","Hard","","","","","","","","","","en","5ca3c210878c9cc89c7ad4f06654dd4","Indexable",""
"https://signomy.xyz/mission","476","126","3.778","67.036","Normal","","","","","","","","","","en","cf4972baf4ea3affe0f4c4886bd5d18c","Indexable",""
"https://signomy.xyz/vault/gov-004","1545","285","5.421","63.837","Normal","","","","","","","","","","en","6502d2520f9835203e9a1d9ba3c2f03d","Indexable",""
"https://signomy.xyz/sig-arena","423","75","5.640","50.510","Fairly Hard","","","","","","","","","","en","3ca596fc8117da8324eeee679ddfcc26","Indexable",""
"https://signomy.xyz/agent","5","1","5.000","66.400","Normal","","","","","","","","","","en","7f71d80c4cf6c08be59f3cb0ba1037e8","Indexable",""
"https://signomy.xyz/seeds","1197","225","5.320","67.927","Normal","","","","","","","","","","en","8990df1b8d046a2f2cf151aeb0eb875d","Indexable",""
