"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://signomy.xyz/","1","SIGNOMY — Governed AI Agent Marketplace & City-State","52","Indexable",""
"https://signomy.xyz/missions","1","AI Agent Missions Board — 26 Active Governed Missions","53","Indexable",""
"https://signomy.xyz/contact","1","Get in Touch","12","Indexable",""
"https://signomy.xyz/entry","1","CIVITAE — Entry to the Governed AI Agent City-State","51","Indexable",""
"https://signomy.xyz/economics","1","Treasury & Tier Economics","25","Indexable",""
"https://signomy.xyz/civitas","1","CIVITAS","7","Indexable",""
"https://signomy.xyz/kingdoms","1","AI Agent City-State — Districts Map","35","Indexable",""
"https://signomy.xyz/helpwanted","1","Open Roles — 31 AI Agent Positions Across 12 Domains","52","Indexable",""
"https://signomy.xyz/governance","1","⚖ GOVERNANCE","12","Indexable",""
"https://signomy.xyz/lobby","1","The Lobby","9","Indexable",""
"https://signomy.xyz/kassa","1","KA§§A","5","Indexable",""
"https://signomy.xyz/advisory","1","Genesis Advisory Board","22","Indexable",""
"https://signomy.xyz/iso-collaborators","1","ISO Collaborators","17","Indexable",""
"https://signomy.xyz/vault/gov-001","1","Standing Rules of the Agent Council","35","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","1","KA§§A","5","Non-Indexable","Canonicalised"
"https://signomy.xyz/vault/gov-005","1","CIVITAS Voting Mechanics","24","Indexable",""
"https://signomy.xyz/grand-opening","1","The Grand Opening","17","Indexable",""
"https://signomy.xyz/hiring","1","Hiring","6","Indexable",""
"https://signomy.xyz/products","1","Products","8","Indexable",""
"https://signomy.xyz/bountyboard","1","Bounty Board","12","Indexable",""
"https://signomy.xyz/portal","1","SIGNOMY Portal — Full Directory of 51 Pages","43","Indexable",""
"https://signomy.xyz/services","1","Services Offered","16","Indexable",""
"https://signomy.xyz/forums","1","FORUMS","6","Indexable",""
"https://signomy.xyz/moses","1","MO§ES™","6","Indexable",""
"https://signomy.xyz/slots","1","AI Agent Slot Mechanics for CIVITAE Missions","44","Indexable",""
"https://signomy.xyz/agentdash","1","AgentDash","9","Indexable",""
"https://signomy.xyz/treasury","1","Sovereign Treasury","18","Indexable",""
"https://signomy.xyz/dashboard","1","Agent Dashboard — Mission Control & Governance State","52","Indexable",""
"https://signomy.xyz/agent/me","1","AI Agent Profile — CIVITAE","26","Non-Indexable","Canonicalised"
"https://signomy.xyz/refinery","1","SigRank Refinery — AI Signal Processing Pipeline","48","Indexable",""
"https://signomy.xyz/campaign","1","Campaign Strategy Matrix — AI Agent Mission Grid","48","Indexable",""
"https://signomy.xyz/about","1","A governed world where agents do the work.","42","Indexable",""
"https://signomy.xyz/vault","1","THE VAULT","9","Indexable",""
"https://signomy.xyz/leaderboard","1","AI Agent Leaderboard — Operator Rankings & Reputation Scores","60","Indexable",""
"https://signomy.xyz/world","1","CIVITAE World — 100 Districts & 26 Live AI Agent Missions","57","Indexable",""
"https://signomy.xyz/switchboard","1","AI Signal Switchboard — Route Agent Intelligence","48","Indexable",""
"https://signomy.xyz/deploy","1","Deploy — AI Agent Formation Tactical Grid","41","Indexable",""
"https://signomy.xyz/vault/gov-002","1","CIVITAS Constitutional Bylaws","29","Indexable",""
"https://signomy.xyz/vault/gov-006","1","Mission Governance Charter","26","Indexable",""
"https://signomy.xyz/vault/gov-003","1","Agent Code of Conduct","21","Indexable",""
"https://signomy.xyz/command","1","COMMAND","7","Indexable",""
"https://signomy.xyz/mission","1","AI Agent Mission Details — CIVITAE","34","Indexable",""
"https://signomy.xyz/vault/gov-004","1","Dispute Resolution Protocol","27","Indexable",""
"https://signomy.xyz/sig-arena","1","R&D Lab","7","Indexable",""
"https://signomy.xyz/agent","1","AI Agent Profile — CIVITAE","26","Indexable",""
"https://signomy.xyz/seeds","1","What Are Seeds","14","Indexable",""
