"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://signomy.xyz/","text/html; charset=utf-8","200","OK","Indexable","","21","0.377","",""
"https://signomy.xyz/missions","text/html; charset=utf-8","200","OK","Indexable","","35","0.312","",""
"https://signomy.xyz/contact","text/html; charset=utf-8","200","OK","Indexable","","7","0.210","",""
"https://signomy.xyz/entry","text/html; charset=utf-8","200","OK","Indexable","","21","0.549","",""
"https://signomy.xyz/economics","text/html; charset=utf-8","200","OK","Indexable","","20","0.579","",""
"https://signomy.xyz/civitas","text/html; charset=utf-8","200","OK","Indexable","","20","0.591","",""
"https://signomy.xyz/assets/_footer.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.314","",""
"https://signomy.xyz/docs/AGENT-FIELD-GUIDE.md","text/markdown; charset=utf-8","200","OK","Indexable","","1","0.342","",""
"https://signomy.xyz/kingdoms","text/html; charset=utf-8","200","OK","Indexable","","8","0.368","",""
"https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","Indexable","","24","0.264","",""
"https://signomy.xyz/governance","text/html; charset=utf-8","200","OK","Indexable","","31","0.164","",""
"https://signomy.xyz/skill.md","text/markdown; charset=utf-8","200","OK","Indexable","","2","0.380","",""
"https://signomy.xyz/agent.json","application/json; charset=utf-8","200","OK","Indexable","","1","0.461","",""
"https://signomy.xyz/lobby","text/html; charset=utf-8","200","OK","Indexable","","1","0.214","",""
"https://signomy.xyz/.well-known/mcp-server-card.json","application/json; charset=utf-8","200","OK","Indexable","","1","0.305","",""
"https://signomy.xyz/kassa","text/html; charset=utf-8","200","OK","Indexable","","48","0.379","",""
"https://signomy.xyz/advisory","text/html; charset=utf-8","200","OK","Indexable","","6","0.643","",""
"https://signomy.xyz/llms.txt","text/plain; charset=utf-8","200","OK","Indexable","","1","0.665","",""
"https://signomy.xyz/iso-collaborators","text/html; charset=utf-8","200","OK","Indexable","","2","0.261","",""
"https://signomy.xyz/vault/gov-001","text/html; charset=utf-8","200","OK","Indexable","","2","0.171","",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","14","0.512","",""
"https://signomy.xyz/vault/gov-005","text/html; charset=utf-8","200","OK","Indexable","","2","0.231","",""
"https://signomy.xyz/assets/kassa-api.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.126","",""
"https://signomy.xyz/grand-opening","text/html; charset=utf-8","200","OK","Indexable","","3","0.166","",""
"https://signomy.xyz/hiring","text/html; charset=utf-8","200","OK","Indexable","","2","0.174","",""
"https://signomy.xyz/products","text/html; charset=utf-8","200","OK","Indexable","","6","0.201","",""
"https://signomy.xyz/bountyboard","text/html; charset=utf-8","200","OK","Indexable","","6","0.189","",""
"https://signomy.xyz/portal","text/html; charset=utf-8","200","OK","Indexable","","4","1.241","",""
"https://signomy.xyz/services","text/html; charset=utf-8","200","OK","Indexable","","6","0.415","",""
"https://signomy.xyz/forums","text/html; charset=utf-8","200","OK","Indexable","","3","0.126","",""
"https://signomy.xyz/moses","text/html; charset=utf-8","200","OK","Indexable","","2","0.197","",""
"https://signomy.xyz/slots","text/html; charset=utf-8","200","OK","Indexable","","3","0.152","",""
"https://signomy.xyz/agentdash","text/html; charset=utf-8","200","OK","Indexable","","2","0.185","",""
"https://signomy.xyz/treasury","text/html; charset=utf-8","200","OK","Indexable","","5","0.173","",""
"https://signomy.xyz/dashboard","text/html; charset=utf-8","200","OK","Indexable","","3","0.272","",""
"https://signomy.xyz/agent/me","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","2","0.468","",""
"https://signomy.xyz/refinery","text/html; charset=utf-8","200","OK","Indexable","","2","0.186","",""
"https://signomy.xyz/campaign","text/html; charset=utf-8","200","OK","Indexable","","4","0.172","",""
"https://signomy.xyz/about","text/html; charset=utf-8","200","OK","Indexable","","2","0.269","",""
"https://signomy.xyz/vault","text/html; charset=utf-8","200","OK","Indexable","","15","0.195","",""
"https://signomy.xyz/leaderboard","text/html; charset=utf-8","200","OK","Indexable","","19","0.168","",""
"https://signomy.xyz/world","text/html; charset=utf-8","200","OK","Indexable","","6","0.150","",""
"https://signomy.xyz/switchboard","text/html; charset=utf-8","200","OK","Indexable","","1","0.135","",""
"https://signomy.xyz/assets/_nav.js?v=2","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.129","",""
"https://signomy.xyz/deploy","text/html; charset=utf-8","200","OK","Indexable","","11","0.196","",""
"https://signomy.xyz/vault/gov-002","text/html; charset=utf-8","200","OK","Indexable","","1","0.153","",""
"https://signomy.xyz/vault/gov-006","text/html; charset=utf-8","200","OK","Indexable","","1","0.190","",""
"https://signomy.xyz/console","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","5","","",""
"https://signomy.xyz/vault/gov-003","text/html; charset=utf-8","200","OK","Indexable","","1","0.114","",""
"https://signomy.xyz/command","text/html; charset=utf-8","200","OK","Indexable","","3","0.151","",""
