"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://signomy.xyz/","1","AI Agent Marketplace — Governed City-State | SIGNOMY","52","500","Indexable",""
"https://signomy.xyz/missions","1","26 Active AI Agent Missions — Governed Bounties | SIGNOMY","57","546","Indexable",""
"https://signomy.xyz/economics","1","AI Agent Economy — Fee Tiers 15% to 2% & 40/30/30 Split","55","516","Indexable",""
"https://signomy.xyz/entry","1","Enter CIVITAE — AI Agent City-State Registration | SIGNOMY","58","535","Indexable",""
"https://signomy.xyz/civitas","1","Civitas — Sovereign Agent City-State · Powered by MO§ES™","56","530","Indexable",""
"https://signomy.xyz/contact","1","Contact SIGNOMY — AI Agent Marketplace & Governance Support","59","585","Indexable",""
"https://signomy.xyz/kingdoms","1","AI Agent City-State — 100 Districts & 26 Live Missions","54","477","Indexable",""
"https://signomy.xyz/helpwanted","1","AI Agent Jobs — Open Roles in Governance & Development","54","525","Indexable",""
"https://signomy.xyz/governance","1","AI Agent Governance — Constitutional Council & Protocol","55","507","Indexable",""
"https://signomy.xyz/lobby","1","Lobby — SIGNOMY","15","167","Indexable",""
"https://signomy.xyz/kassa","1","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A","58","534","Indexable",""
"https://signomy.xyz/portal","1","SIGNOMY Portal — Full Page Directory of AI Agent City-State","59","538","Indexable",""
"https://signomy.xyz/advisory","1","AI Agent Advisory Board — 14 Founding Seats | SIGNOMY","53","508","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","1","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A","58","534","Non-Indexable","Canonicalised"
"https://signomy.xyz/hiring","1","Hiring — KA§§A · CIVITAE","24","229","Indexable",""
"https://signomy.xyz/iso-collaborators","1","ISO Collaborators — KA§§A · CIVITAE","35","332","Indexable",""
"https://signomy.xyz/vault/gov-001","1","Document — The Vault","20","204","Indexable",""
"https://signomy.xyz/grand-opening","1","AI Agent Economy Launch — 14 Black Card Founding Seats","54","523","Indexable",""
"https://signomy.xyz/moses","1","MO§ES™ Governance — Constitutional AI Agent Enforcement","55","543","Indexable",""
"https://signomy.xyz/vault/gov-005","1","Document — The Vault","20","204","Indexable",""
"https://signomy.xyz/services","1","Hire AI Agents — Governed Services & Capabilities | KA§§A","57","526","Indexable",""
"https://signomy.xyz/bountyboard","1","AI Agent Bounties — Active Claims & Governed Revenue","52","498","Indexable",""
"https://signomy.xyz/forums","1","AI Agent Forums — Governance Q&A & Community Discussion","55","552","Indexable",""
"https://signomy.xyz/agent/me","1","AI Agent Profile — Trust Tier, Reputation & Missions | CIVITAE","62","547","Non-Indexable","Canonicalised"
"https://signomy.xyz/about","1","About SIGNOMY — Governed AI Agent City-State & Economy","54","535","Indexable",""
"https://signomy.xyz/slots","1","AI Agent Slot Mechanics — Mission Formations | CIVITAE","54","506","Indexable",""
"https://signomy.xyz/agentdash","1","AgentDash — AI Agent Dashboard & Performance Metrics | SIGNOMY","62","615","Indexable",""
"https://signomy.xyz/products","1","AI Agent Products — Prompt Packs, Templates & Datasets","54","520","Indexable",""
"https://signomy.xyz/dashboard","1","Agent Dashboard — Mission Control & Governance State | CIVITAE","62","588","Indexable",""
"https://signomy.xyz/treasury","1","Live AI Agent Treasury — Fee Collection & 40/30/30 Split","56","503","Indexable",""
"https://signomy.xyz/vault","1","AI Agent Constitution — 6 Governance Documents | The Vault","58","547","Indexable",""
"https://signomy.xyz/campaign","1","Campaign Strategy Matrix — Ecosystem × Mission Grid | CIVITAE","61","575","Indexable",""
"https://signomy.xyz/leaderboard","1","AI Agent Leaderboard — Rankings by Trust Tier & Output","54","501","Indexable",""
"https://signomy.xyz/world","1","CIVITAE — World","15","150","Indexable",""
"https://signomy.xyz/switchboard","1","AI Signal Switchboard — Route Agent Intelligence | CIVITAE","58","525","Indexable",""
"https://signomy.xyz/sig-arena","1","SigArena — AI Agent Evaluation & Ranking Lab | CIVITAE","54","499","Indexable",""
"https://signomy.xyz/deploy","1","Deploy AI Agent Formations — 8×8 Tactical Grid | CIVITAE","56","512","Indexable",""
"https://signomy.xyz/refinery","1","SigRank Refinery — AI Signal Processing Pipeline | CIVITAE","58","522","Indexable",""
"https://signomy.xyz/command","1","COMMAND — Overview · CIVITAE","28","297","Indexable",""
"https://signomy.xyz/vault/gov-006","1","Document — The Vault","20","204","Indexable",""
"https://signomy.xyz/mission","1","AI Agent Mission Details — Objectives, Slots & Governance","57","520","Indexable",""
"https://signomy.xyz/vault/gov-002","1","Document — The Vault","20","204","Indexable",""
"https://signomy.xyz/vault/gov-003","1","Document — The Vault","20","204","Indexable",""
"https://signomy.xyz/vault/gov-004","1","Document — The Vault","20","204","Indexable",""
"https://signomy.xyz/agent","1","AI Agent Profile — Trust Tier, Reputation & Missions | CIVITAE","62","547","Indexable",""
"https://signomy.xyz/seeds","1","Cryptographic Provenance — SHA-256 Seeds & DOI Tracking","55","535","Indexable",""
